Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Литвин,Вікторія,Дмитріївна,Жіноча,1971-07-11,Палеонтолог,селище Сокаль,"вулиця Луїджі Іоріні, буд. 546 кв. 539, Макіївка, 10799",017 765-19-38,lahodapylyp@example.net
Овсієнко,Маруся,Лесівна,Жіноча,2004-02-13,Музикант,село Мукачево,"площа Хвиляста, буд. 6 кв. 6, Вишневе, 98652",+380 26 464 18 78,martyn21@example.org
Щербак,Оксенія,Феофанівна,Жіноча,1954-12-22,Бізнесмен,селище Дубляни,"сквер Херсонський, буд. 8, Берестин, 13443",+380 (86) 349-34-38,skyrdabohdanna@example.com
Журба,Августин,Орестович,Чоловіча,1969-02-14,Астрофізик,місто Пустомити,"провулок Станційна 2-га, буд. 66, Великі Мости, 86295",+380 (38) 590-80-40,martyn35@example.com
Андріїшина,Альбіна,Вʼячеславівна,Жіноча,1942-04-25,Музикознавець,хутір Чорнобиль,"шосе Балківська, буд. 397 кв. 97, Підгородне, 76256",036 935 25 52,echalyi@example.net
Деревʼянко,Климент,Пилипович,Чоловіча,1994-02-22,Дантист,місто Українськ,"узвіз тупик Хвиля, буд. 826 кв. 92, Білгород-Дністровський, 78127",701 20 95,iakiv91@example.net
Байда,Євген,Гордійович,Чоловіча,1965-09-25,Медик,селище П'ятихатки,"площа Артилерійська, буд. 0 кв. 55, Дергачі, 74165",091 160-36-11,anita71@example.com
Скирда,Соломія,Панасівна,Жіноча,1992-08-17,Філолог,хутір Малин,"сквер Соляний 4-й, буд. 7 кв. 7, Львів, 35105",887-90-44,lukian81@example.com
Деревʼянко,Одарка,Ярославівна,Жіноча,1954-12-07,Музикознавець,місто Ічня,"набережна Добровольців, буд. 48 кв. 554, Балаклія, 39054",867-28-98,larysavalenko@example.com
Ткач,Венедикт,Августинович,Чоловіча,1953-11-19,Публіцист,село Бориспіль,"площа Сливовий, буд. 320 кв. 6, Отаманівка, 74967",762 61 30,stefankorsun@example.com
Їжакевич,Аврелій,Богданович,Чоловіча,1990-01-14,Агроном,місто Берегове,"сквер Кипарисний 2-й, буд. 3 кв. 7, Святогірськ, 40223",+380 (79) 584-75-79,vdevdiuk@example.com
Арсенич,Орхип,Богданович,Чоловіча,1991-12-14,Штукатур,хутір Болехів,"узвіз Ніжинська, буд. 415 кв. 09, Берестечко, 21736",656 72 70,kashchenkoiaroslava@example.net
Щириця,Клавдія,Олегівна,Жіноча,1957-01-26,Мірошник,селище Бар,"сквер Чернігівський, буд. 84 кв. 493, Бунге, 68614",+380 68 358-28-01,serhiibazylevych@example.org
Юрчук,Леонід,Владиславович,Чоловіча,1973-10-29,Паралегал,село Дубно,"площа Косовський, буд. 0, Ржищів, 42317",502-89-89,stefan00@example.com
Безбородько,Ярема,Альбертович,Чоловіча,2001-06-05,Співак,селище Отаманівка,"проспект П'ята, буд. 1 кв. 543, Перечин, 06788",666 00 66,liubovchernenko@example.org
Терещук,Тимофій,Миронович,Чоловіча,1953-10-30,Ґрунтознавець,село Новоград-Волинський,"узвіз Мелодійний, буд. 26, Бершадь, 87017",+380 62 788-06-48,ttsybulenko@example.com
Гаврилець,Спас,Прохорович,Чоловіча,2004-12-11,Громадський діяч,місто Дрогобич,"узвіз Володі Дубініна, буд. 87, Жовква, 36263",316 37 10,fiurchuk@example.net
Гриценко,Олесь,Вікторович,Чоловіча,1963-06-05,Стиліст,хутір Миргород,"парк Сирітський, буд. 6 кв. 944, Теплодар, 31291",+380 56 571-83-87,iarynaartiukh@example.org
Макаренко,Богуслава,Дмитріївна,Жіноча,1961-07-29,Графік,місто Новоазовськ,"вулиця Кипарисний 1-й, буд. 9, Ічня, 45118",+380 57 536-31-91,rubanruslan@example.org
Абрамчук,Азар,Олегович,Чоловіча,1939-12-19,Бізнесмен,село Багачеве,"вулиця Тепличний 2-й, буд. 73 кв. 64, Бердичів, 75149",+380 34 053 27 43,chalenkooleksandr@example.org
Іщак,Кирило,Хомович,Чоловіча,1976-05-15,Штукатур,місто Бершадь,"площа Сирітський, буд. 862, Лубни, 73553",028 920 11 19,teodoriurchuk@example.net
Тимчук,Олекса,Демʼянович,Чоловіча,1957-05-09,Штукатур,хутір Сорокине,"парк Довга, буд. 679, Шепетівка, 29632",+380 31 174-73-88,emykhailiuk@example.com
Оробець,Лесь,Хомович,Чоловіча,1986-05-07,Архітектор,село Перемишляни,"вулиця Юрія Єгорова, буд. 2 кв. 189, Пустомити, 59521",+380 87 614 42 19,leontii90@example.net
Бабійчук,Едита,Орхипівна,Жіноча,1960-08-03,Реабілітолог,місто Винники,"проспект Бутишів, буд. 51 кв. 12, Яворів, 43840",437-62-45,viktoriia90@example.org
Ґерус,Охрім,Давидович,Чоловіча,1984-11-07,Кіноактор,село Городок,"площа Соляний 7-й, буд. 386, Жданівка, 28443",+380 04 001 91 71,uvernyhora@example.org
Демʼяненко,Андрій,Опанасович,Чоловіча,1946-03-16,Фотограф,село Тернівка,"вулиця Соціальна, буд. 3 кв. 71, Мостиська, 53679",071 875-16-02,fedir86@example.net
Дараган,Анастасія,Богуславівна,Жіноча,1996-07-12,Геолог,село Костянтинівка,"вулиця Радіо, буд. 78, Павлоград, 74949",020 247-04-64,orynavakhnii@example.org
Бакуменко,Веніямин,Петрович,Чоловіча,1952-03-23,Дипломат,місто Олександрівськ,"провулок Топольського, буд. 251 кв. 92, Долинська, 63144",300 89 57,mykytavakarchuk@example.org
Єщенко,Захар,Омелянович,Чоловіча,2003-04-04,Акушер,місто Сорокине,"проспект Академіка Корольова, буд. 58, Золоте, 16507",+380 (87) 821-36-85,perebyinissolomon@example.org
Орлик,Аліна,Несторівна,Жіноча,1967-09-09,Акушер,селище Миронівка,"узвіз Ярморочна площа, буд. 78, Ічня, 55905",091 695 53 78,tsych@example.com
Бездітко,Трохим,Опанасович,Чоловіча,1977-07-01,Живописець,село Миколаїв,"набережна Горбиста, буд. 014 кв. 5, Немирів, 21349",+380 22 656 27 99,roksolanatkachenko@example.com
Базавлученко,Ольга,Назарівна,Жіноча,1979-03-25,Стропальник,місто Жовті Води,"сквер Різницький, буд. 27, Сватове, 43977",+380 (67) 498-93-52,demyd07@example.org
Сімашкевич,Охрім,Пантелеймонович,Чоловіча,1982-01-24,Візажист,хутір Донецьк,"набережна Балтський 8-й, буд. 93 кв. 708, Ізмаїл, 92085",+380 (41) 356-32-64,kkalenychenko@example.org
Туркало,Віолетта,Богуславівна,Жіноча,1954-08-27,Філолог,хутір Жашків,"провулок Чубаївський, буд. 524 кв. 9, Лисичанськ, 90812",+380 (45) 091-22-20,orobetsdavyd@example.com
Дурдинець,Софія,Едуардівна,Жіноча,1987-02-09,Ґрунтознавець,хутір Звенигородка,"вулиця Аеропортівська, буд. 9 кв. 584, Алушта, 56221",+380 88 178-78-03,gtelychenko@example.net
Дробʼязко,Анастасія,Соломонівна,Жіноча,2002-09-27,Письменник,селище Тараща,"площа Наявний 4-й, буд. 5, Кременчук, 90719",+380 84 749-80-90,iatsenkobohdanna@example.org
Ващенко,Ярослав,Олексович,Чоловіча,1963-05-12,Акушер,село Хирів,"узвіз Новощіпний ряд, буд. 999 кв. 682, Великі Мости, 59582",243-87-22,kishchenko@example.org
Демиденко,Тетяна,Миронівна,Жіноча,2005-11-17,Кінорежисер,селище Бердянськ,"вулиця Тиха, буд. 053 кв. 79, Гайворон, 28274",573 33 40,ielysaveta53@example.org
Проценко,Онисим,Юхимович,Чоловіча,2001-06-09,Прокурор,селище Мукачево,"парк Сабанський, буд. 86 кв. 9, Бахмач, 76103",+380 05 182 33 57,ihor42@example.com
Онуфрієнко,Максим,Семенович,Чоловіча,1974-10-29,Композитор,хутір Тячів,"шосе Географічний, буд. 41 кв. 5, Люботин, 10590",+380 18 700 60 78,vasylyna28@example.com
Чабан,Пріска,Демʼянівна,Жіноча,1945-04-21,Гицель,селище Сокаль,"узвіз Сім'ї Глодан, буд. 0 кв. 6, Жидачів, 22732",+380 38 561-38-22,smykmyroslav@example.org
Давиденко,Юстим,Степанович,Чоловіча,2004-12-22,Фізик,село Мостиська,"парк Ніжинська, буд. 6, Біляївка, 23052",+380 52 831-60-39,makarpelekh@example.org
Дрозденко,Олена,Миколаївна,Жіноча,1952-08-22,Штукатур,селище Новий Розділ,"провулок Квітки-Основ’яненка, буд. 890 кв. 6, Моспине, 77708",541-25-57,serhiihohol@example.com
Юхименко,Семен,Прохорович,Чоловіча,1975-02-13,Геофізик,селище Вилкове,"сквер Санітарна, буд. 91 кв. 0, Кропивницький, 43701",+380 35 162-53-47,sofiia76@example.com
Вергун,Панас,Валерійович,Чоловіча,1972-03-10,Різноробочий,село Сокологірськ,"парк Олександра Білостінного, буд. 5 кв. 20, Євпаторія, 26845",473-26-33,pvanchenko@example.com
Баранник,Дарина,Захарівна,Жіноча,1965-04-20,Інженер,місто Сколе,"шосе Вчительської, 2-й, буд. 6, Борщів, 69801",820 31 96,arsenychsvitlana@example.net
Пилипенко,Микита,Бориславович,Чоловіча,1964-08-21,Музикант,селище Приморськ,"набережна Яблунева, буд. 652 кв. 95, Самбір, 49063",+380 42 633-58-07,edyta62@example.org
Цюпа,Панас,Костянтинович,Чоловіча,2001-09-01,Детектив,село Перевальськ,"вулиця Рівності, буд. 238, Прилуки, 06444",034 010-03-43,symon87@example.org
Лавренко,Михайлина,Аркадіївна,Жіноча,1968-04-12,Адвокат,село Бережани,"площа Сірожупанників, буд. 6 кв. 7, Білогірськ, 03735",038 859-61-25,anastasiia98@example.net
Єрьоменко,Людмила,Антонівна,Жіноча,1978-03-11,Фізик,місто Болехів,"площа Трудовий, буд. 36, Енергодар, 75035",+380 (22) 064-11-22,kabanenkotymofii@example.net
Вертипорох,Лариса,Гордіївна,Жіноча,1995-06-02,Намотувальник,місто Переяслав,"сквер Весняна, буд. 5 кв. 522, Ізюм, 44522",094 66 49,chekaliuknadiia@example.com
Зубко,Олег,Прохорович,Чоловіча,2002-01-25,Електротехнік,селище Корець,"узвіз Грецький, буд. 4 кв. 909, Бровари, 02050",718 86 51,bohuslava88@example.com
Абрамчук,Михайлина,Максимівна,Жіноча,2002-06-22,Ді-джей,місто Виноградів,"парк Вапняний 3-й, буд. 47 кв. 526, Миколаїв, 56613",+380 21 167 56 33,romanchukerika@example.org
Швачко,Марко,Леонтійович,Чоловіча,2000-05-26,Соціолог,місто Краматорськ,"набережна Сергія Шелухина, буд. 3 кв. 1, Харків, 52850",+380 (45) 863-14-70,mykhailoandroshchuk@example.net
Гавриленко,Василь,Венедиктович,Чоловіча,1975-05-11,Диригент,хутір Полонне,"узвіз Соляний 4-й, буд. 636, Сімферополь, 85655",039 260-41-22,maksym59@example.net
Щириця,Юстим,Іванович,Чоловіча,1959-10-27,Різноробочий,хутір Ізяслав,"провулок Луїджі Іоріні, буд. 42 кв. 4, Кобеляки, 40025",+380 08 412-22-43,ustymmasliak@example.org
Чала,Емілія,Августинівна,Жіноча,1996-12-01,Футболіст,хутір Хрестівка,"площа Олександра Мурашка, буд. 263, Шаргород, 67967",001 512 48 91,nataliiaiakymenko@example.net
Їжакевич,Михайло,Вадимович,Чоловіча,1972-08-26,Археолог,село Сокиряни,"сквер 11-та Лінія Марії Демченко, буд. 3 кв. 40, Покровськ, 19834",169 74 60,ukolesnychenko@example.com
Єременко,Альберт,Леонтійович,Чоловіча,1989-05-23,Перекладач,село Арциз,"проспект Саймона Літмана, буд. 2 кв. 4, Заводське, 27425",+380 96 888-29-20,yhrytsenko@example.org
Дутка,Едита,Ростиславівна,Жіноча,1995-02-09,Промисловець,село Зоринськ,"провулок Кустанайський 2-й, буд. 78 кв. 6, Жашків, 68457",010 307 77 98,shtokaloazar@example.com
Акуленко,Григорій,Євгенійович,Чоловіча,1994-09-08,Різноробочий,хутір Отаманівка,"проспект Умова, буд. 865 кв. 12, Сокаль, 35766",734 91 13,averchenkoiryna@example.com
Бандера,Олекса,Стефанович,Чоловіча,1996-07-19,Льотчик,хутір Сокаль,"набережна Лінія 27-ма, буд. 203 кв. 30, Ізяслав, 36025",476-66-60,aatroshchenko@example.net
Твердохліб,Лілія,Петрівна,Жіноча,1955-11-19,Епідеміолог,селище Жданівка,"сквер Кипарисний 1-й, буд. 9, Зборів, 45589",255-74-83,turkalomartyn@example.org
Швайка,Адам,Макарович,Чоловіча,1963-12-06,Клоун,село Старий Крим,"узвіз Шебелінський, буд. 452 кв. 670, Родинське, 21062",053 977-61-21,iartymyshyn@example.org
Фаренюк,Анжела,Лесівна,Жіноча,2000-05-24,Швачка,селище Золочів,"сквер Кінна, буд. 149, Покров, 80208",782 80 08,davydprotsenko@example.com
Вернигора,Пантелеймон,Омелянович,Чоловіча,2002-04-09,Архітектор,місто Маріуполь,"провулок Дачний 2-й, буд. 9 кв. 39, Стрий, 67509",294 50 53,khrystyna45@example.com
Вітер,Маруся,Лесівна,Жіноча,1961-11-22,Педагог,село Верхньодніпровськ,"сквер Олександра Болдирєва, буд. 65 кв. 4, Вижниця, 55782",+380 23 159 98 77,veniiamyn96@example.org
Бабариченко,Дарина,Остапівна,Жіноча,1995-08-24,Єгер,селище Жмеринка,"вулиця Моторна, буд. 270, Кам'янка (Черкаська область), 02540",010 080 04 34,aaronsomko@example.org
Дашенко,Максим,Олегович,Чоловіча,1947-09-27,Археолог,місто Очаків,"набережна Листяна, буд. 5 кв. 207, Кипуче, 99396",675-12-87,geretavolodymyr@example.org
Цушко,Владислав,Пилипович,Чоловіча,1976-03-16,Програміст,село Ізюм,"узвіз Леоніда Осики, буд. 19 кв. 9, Ковель, 66332",+380 83 225-81-42,panasavramenko@example.net
Верменич,Єва,Іванівна,Жіноча,1998-07-04,Штукатур,місто Збараж,"площа Басейний 1-й, буд. 0 кв. 5, Радехів, 94129",+380 (73) 954-98-78,shvachkomykhailo@example.net
Франко,Ірина,Сергіївна,Жіноча,1991-05-10,Фермер,хутір Решетилівка,"шосе Студентський 4-й, буд. 191, Богуслав, 44657",+380 31 639 41 66,makarzinchenko@example.net
Бабиченко,Гаврило,Дмитрович,Чоловіча,1975-07-22,Візажист,хутір Трускавець,"площа Гонтаренко, буд. 362 кв. 03, Рава-Руська, 16679",+380 04 131-21-28,les70@example.org
Базилевський,Микита,Гаврилович,Чоловіча,1952-01-16,Стиліст,село Решетилівка,"сквер Канатний, буд. 754 кв. 5, Самар, 98307",732-08-34,kyryloadamchuk@example.org
Ємельяненко,Клавдія,Святославівна,Жіноча,1942-04-03,Скульптор,хутір Самбір,"парк Студентський 3-й, буд. 01 кв. 7, Ямпіль, 29499",+380 64 398-36-16,drobiazkovasyl@example.com
Христич,Оксенія,Венедиктівна,Жіноча,1957-06-02,Швачка,село Іллінці,"проспект Мариністів, буд. 06, Біла Церква, 04530",072-07-00,stefanbabko@example.com
Павличенко,Руслан,Охрімович,Чоловіча,2006-01-29,Клоун,селище Світлодарськ,"узвіз Вапняний 3-й, буд. 95, Кадіївка, 69024",007 146-18-44,klymentvobla@example.com
Франчук,Еріка,Ааронівна,Жіноча,1995-05-03,Кінорежисер,селище Дергачі,"набережна Рівності 1-й, буд. 69 кв. 04, Нова Каховка, 47403",+380 58 980-70-24,babarychenkoartem@example.net
Запорожець,Борис,Борисович,Чоловіча,2008-03-04,Стоматолог,селище Білопілля,"провулок Чорноморський 10-й, буд. 39 кв. 30, Докучаєвськ, 20546",090 175-20-10,danna83@example.net
Терещенко,Марʼяна,Ярославівна,Жіноча,1965-03-24,Маркетолог,місто Вознесенівка,"узвіз Планетна, буд. 88 кв. 049, Заставна, 57773",+380 60 567-64-82,mvenhrynovych@example.org
Євтушенко,Охрім,Хомович,Чоловіча,1971-04-10,Кінокритик,селище Вижниця,"площа Калинова, буд. 41, Джанкой, 18999",+380 50 090-78-05,khomashvachko@example.net
Бабариченко,Климент,Пилипович,Чоловіча,1966-05-16,Біолог,село Деражня,"проспект Лінія 30-та, буд. 4, Шептицький, 85952",398-58-49,daryna34@example.net
Ґерета,Спас,Яремович,Чоловіча,1980-08-30,Клавішник,місто Шумськ,"площа Болградська, буд. 42, Довжанськ, 60085",+380 42 778-56-28,ezhuravel@example.com
Чорновіл,Дмитро,Яковович,Чоловіча,1940-12-12,Редактор,селище Бориспіль,"узвіз Ювілейний 2-й, буд. 406, Джанкой, 47271",015 827 05 76,zmiroshnychenko@example.com
Швачка,Микита,Демʼянович,Чоловіча,1983-06-06,Фольклорист,місто Макіївка,"набережна 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 628, Біляївка, 35495",+380 18 788 10 68,adam64@example.org
Пелех,Амалія,Йосипівна,Жіноча,1959-08-19,Ювелір,селище Жданівка,"проспект Кладовищний, буд. 4 кв. 19, Приморськ, 84720",051 403 79 43,bshchors@example.net
Єрошенко,Роксолана,Сергіївна,Жіноча,1959-07-31,Головний меркшейдер,селище Бережани,"провулок Школярський, буд. 576 кв. 6, Українка, 40080",919 54 31,cherednykmykhailo@example.net
Удовиченко,Розалія,Давидівна,Жіноча,1983-07-24,Патологоанатом,місто Лисичанськ,"площа Аеропортівський 2-й, буд. 2, Скалат, 68445",910 64 20,anastasiiakorzh@example.com
Їжакевич,Ада,Максимівна,Жіноча,1988-12-26,Бізнесмен,хутір Глиняни,"вулиця Старокінний, буд. 5 кв. 145, Славута, 04272",458-36-25,huziimarko@example.net
Вітер,Герман,Владиславович,Чоловіча,1968-03-14,Письменник,село Вижниця,"узвіз Шкільний аеродром, буд. 8, Тетіїв, 85588",+380 10 333 51 13,zinchenkodan@example.com
Гоголь,Владислав,Болеславович,Чоловіча,1998-03-07,Етнограф,село Бунге,"узвіз Шептицького, буд. 469, Добромиль, 77502",+380 79 874-31-18,charnyshboleslav@example.net
Атаманюк,Аврелій,Борисович,Чоловіча,1961-07-31,Диригент,хутір Алушта,"вулиця Соляний 5-й, буд. 57, Жданівка, 47171",+380 68 903 29 09,dmytro22@example.net
Полтавець,Гліб,Августинович,Чоловіча,1999-05-15,Вчитель,село Золочів,"вулиця Морехідний, буд. 7 кв. 04, Винники, 03444",+380 (37) 927-36-83,vertyporokhokhrim@example.org
Іваненко,Пріска,Єфремівна,Жіноча,1950-07-20,Гірник,село Остер,"проспект 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 243, Южноукраїнськ, 37362",063 384-23-46,vasylynatsybulenko@example.net
Червоненко,Софія,Єфремівна,Жіноча,1943-11-26,Мовознавець,хутір Добромиль,"сквер Каштанова, буд. 36, Городня, 36700",808-71-02,korolenkomykolai@example.org
Панчук,Геннадій,Вʼячеславович,Чоловіча,1959-07-04,Фольклорист,селище Борщів,"площа Олександрійський, буд. 676 кв. 33, Калуш, 10204",096 094-47-69,ieva45@example.com
Опанасенко,Августин,Соломонович,Чоловіча,1997-12-29,Дерун,місто Мукачево,"вулиця Східний, буд. 40, Кипуче, 73529",+380 (79) 857-98-11,virakhomenko@example.net
Орлик,Яків,Артемович,Чоловіча,1977-09-13,Паралегал,селище Благовіщенське,"сквер Виноградна 1-ша, буд. 2, Нікополь, 02563",+380 91 215-25-07,skorobohatkoodarka@example.net
Романенко,Охрім,Ігнатович,Чоловіча,1981-05-19,Етнограф,хутір Конотоп,"площа Дмитріївська, буд. 6, Ржищів, 51679",+380 27 562-15-77,tereshchukparmen@example.com
Рубан,Азар,Несторович,Чоловіча,1969-08-15,Кінорежисер,селище Коломия,"узвіз Академіка Липського, буд. 80 кв. 378, Пологи, 45302",768 05 98,sirobabatetiana@example.com
Єщенко,Ростислав,Богуславович,Чоловіча,1942-07-28,Архітектор,село Золочів,"провулок Водний, буд. 133, Липовець, 28653",084 901-86-82,viacheslav73@example.org
Гайдай,Соломон,Семенович,Чоловіча,1942-10-14,Стропальник,село Снятин,"проспект 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 1 кв. 2, Овруч, 38326",554-28-18,feofan25@example.org
Панчук,Кирило,Тарасович,Чоловіча,1955-01-03,Нотаріус,селище Почаїв,"площа Наявний 3-й, буд. 8, Гайворон, 04746",+380 (22) 602-86-73,isachenko@example.com
Ґереґа,Ольга,Семенівна,Жіноча,2000-01-21,Сценарист,селище Алушта,"узвіз Сергія Уточкіна, буд. 52 кв. 52, Броди, 71360",+380 (62) 197-74-19,iaroslava75@example.com
Хомик,Богданна,Миколаївна,Жіноча,1979-02-26,Вчитель,село Феодосія,"шосе Йосипа Фішера, буд. 38 кв. 25, Коростень, 81283",031 267 66 85,erika83@example.net
Кальченко,Аніта,Тимофіївна,Жіноча,2001-02-08,Дерун,хутір Іловайськ,"вулиця Івана Франка, буд. 15 кв. 32, Родинське, 34576",+380 46 020 48 45,alina16@example.com
Самойленко,Данило,Зорянович,Чоловіча,1948-03-05,Електромонтер,селище Сторожинець,"шосе Пересипський 2-й, буд. 3, Сарни, 65373",+380 91 151-71-43,rtereshchuk@example.net
Даценко,Надія,Феофанівна,Жіноча,1951-10-18,Економіст,хутір Алчевськ,"парк Наявний 4-й, буд. 2 кв. 3, Теплодар, 05808",012 07 36,wparasiuk@example.net
Романець,Азар,Орхипович,Чоловіча,1992-04-14,Продюсер,селище Горохів,"парк Усатівська, буд. 8, Судова Вишня, 63519",+380 26 206-69-85,zaikaviacheslav@example.com
Титаренко,Любов,Амвросійовна,Жіноча,1970-05-01,Менеджер,місто Новгород-Сіверський,"проспект Лобачевського, буд. 662, Перемишляни, 30824",037 549 53 18,panteleimonstets@example.com
Ващук,Соломон,Хомович,Чоловіча,1981-03-07,Астроном,село Кипуче,"шосе Теплична, буд. 7, Кодима, 66085",231 98 48,havrylohavrylyshyn@example.org
Вдовенко,Олесь,Яремович,Чоловіча,1947-03-18,Біолог,селище Євпаторія,"шосе Зелена, буд. 082 кв. 430, Моршин, 21837",059 475-42-69,zkonoplenko@example.com
Редько,Володимир,Русланович,Чоловіча,1982-06-23,Астрофізик,село Умань,"провулок Ігоря Бедзая, буд. 95, Кобеляки, 25780",531 10 00,datsenkomarta@example.com
Гаврилець,Варфоломій,Аркадійович,Чоловіча,2002-09-01,Вчитель,місто Токмак,"узвіз Болгарська, буд. 0, Гайсин, 13022",+380 77 827-02-04,ievhenmalyshko@example.org
Свистун,Климент,Богуславович,Чоловіча,1946-07-28,Мінералог,село Хорол,"провулок Ромський, буд. 799, Брянка, 85782",+380 59 011 36 52,violettaishchenko@example.net
Атаманюк,Руслан,Опанасович,Чоловіча,2003-11-27,Золотар,селище Генічеськ,"узвіз Хаджибейський 2-й, буд. 77 кв. 156, Приморськ, 08966",574 40 09,amvrosii73@example.org
Христенко,Охрім,Йосипович,Чоловіча,1956-03-13,Математик,хутір Бучач,"провулок 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 32, Красногорівка, 47996",+380 55 452 49 73,okorpaniuk@example.com
Швачка,Федір,Хомович,Чоловіча,1985-02-03,Випробувач,хутір Вільногірськ,"провулок Лиманна, буд. 400, Охтирка, 93135",+380 09 849-88-02,sychbohdan@example.net
Удовенко,Опанас,Андрійович,Чоловіча,1976-05-01,Вчитель,селище Хрестівка,"узвіз Соляний 5-й, буд. 4 кв. 2, Коростень, 63414",+380 29 163 24 63,zynovii39@example.net
Масоха,Єфрем,Аркадійович,Чоловіча,1953-08-30,Фармацевт,село Багачеве,"парк Матюшенка, буд. 6 кв. 73, Дубляни, 33536",095 831-93-52,alla10@example.net
Малишко,Павло,Богуславович,Чоловіча,1977-04-05,Шериф,хутір Тараща,"проспект Рибальський, буд. 38, Кам'янка-Бузька, 17171",146 00 56,hryhoriiandriievych@example.org
Шутько,Марʼяна,Несторівна,Жіноча,1960-05-25,Електромонтер,хутір Волноваха,"набережна Лузанівка, буд. 16, Вилкове, 64374",067 752 16 86,vernyhoraleontii@example.com
Захарченко,Вікторія,Павлівна,Жіноча,1977-05-28,Гірничий інженер,хутір Старобільськ,"шосе Вінницька, буд. 67, Петрово-Красносілля, 48411",024 000-45-76,valentynusyk@example.net
Гайденко,Леон,Віталійович,Чоловіча,1965-05-08,Хореограф,селище Ржищів,"провулок Італійський, буд. 1, Кіцмань, 77278",037 428 51 45,serhii95@example.net
Конопля,Еріка,Варфоломіївна,Жіноча,1999-10-06,Геолог,хутір Бурштин,"набережна Радісний, буд. 149, Городище, 18881",029 640-03-08,olesbazavluchenko@example.net
Юрчишин,Мартин,Едуардович,Чоловіча,1958-10-21,Математик,селище Татарбунари,"сквер Бузковий 2-й, буд. 88, Золоте, 41872",900 33 91,vernyhoraboryslav@example.org
Бандера,Георгій,Михайлович,Чоловіча,1954-01-03,Підприємець,селище Сквира,"площа Східний 1-й, буд. 4, Сокаль, 84265",055 985 14 18,zaietsvasyl@example.org
Рубець,Онисим,Валентинович,Чоловіча,1977-11-05,Петрограф,село Маріуполь,"вулиця Чорноморський, буд. 45 кв. 46, Лебедин, 18424",+380 (83) 919-10-84,ielysavetamazur@example.org
Носаченко,Єлисей,Антонович,Чоловіча,1974-06-09,Гінеколог,село Каховка,"проспект Обсерваторний, буд. 8 кв. 71, Перещепине, 21140",+380 72 552-63-03,feofan31@example.com
Єфименко,Варвара,Августинівна,Жіноча,1996-02-23,Державний службовець,селище Хоростків,"набережна Неплія, буд. 1 кв. 4, Вуглегірськ, 98834",+380 70 677-68-57,ybaida@example.org
Гайда,Максим,Федорович,Чоловіча,1963-06-19,Модель,селище Чорноморськ,"шосе Бузковий 1-й, буд. 74 кв. 83, Свалява, 60616",044 919-96-08,lukian57@example.com
Жадан,Павло,Азарович,Чоловіча,1951-09-15,Художник,хутір Кальміуське,"площа Флотський 4-й, буд. 1 кв. 15, Тиврів, 82545",+380 18 285-33-91,stefantiahnybok@example.com
Вдовиченко,Одарка,Миронівна,Жіноча,1993-04-21,Гінеколог,селище Самбір,"шосе Митракова, буд. 5 кв. 6, Попасна, 28076",278-35-29,mkybkalo@example.org
Хомик,Єфрем,Ааронович,Чоловіча,1961-10-04,Золотар,місто Приморськ,"сквер Композитора Вербицького, буд. 08, Баранівка, 53579",+380 14 542 33 29,irenasymonenko@example.net
Іщенко,Соломон,Вадимович,Чоловіча,1992-01-24,Редактор,місто Новоукраїнка,"площа Кладовищний, буд. 760 кв. 8, Самбір, 46945",030 21 61,iakiv30@example.net
Гайдай,Франц,Григорійович,Чоловіча,1954-02-06,Паблік рилейшнз,хутір Зимогір'я,"парк Об'їзна дорога, буд. 32 кв. 76, Лиман, 42179",862-40-55,okhrymovychalbina@example.org
Якимчук,Єлисавета,Вікторівна,Жіноча,2004-12-02,Паблік рилейшнз,місто Чоп,"проспект Юрія Кондратюка, буд. 740 кв. 4, Мала Виска, 86544",003 964-25-38,konoplenkoboleslav@example.com
Кабаненко,Святослав,Панасович,Чоловіча,1960-05-26,Композитор,селище Яремче,"парк Кавунова, буд. 5, Нова Одеса, 31570",027-08-76,edytavdovychenko@example.org
Лемешко,Едуард,Сергійович,Чоловіча,2005-06-10,Фрілансер,хутір Кам'янець-Подільський,"проспект Чернівецький, буд. 800, Люботин, 04863",+380 (92) 085-27-65,bezditkoorest@example.com
Носенко,Артем,Леонідович,Чоловіча,2002-12-16,Штукатур,місто Федорівка,"узвіз Барвінковий, буд. 191 кв. 83, Тетіїв, 50146",+380 (04) 218-23-59,fieresko@example.net
Устенко,Любов,Єфремівна,Жіноча,1979-06-03,Няня,хутір Вилкове,"узвіз Геранієва, буд. 5, Самбір, 68760",577 98 53,sofiiakyrylenko@example.com
Лавренко,Валентин,Варфоломійович,Чоловіча,1967-09-27,Антрополог,хутір Кролевець,"узвіз Одарія, буд. 11, Гадяч, 07546",+380 40 989 15 96,shcherbanmyron@example.com
Швачка,Охрім,Миронович,Чоловіча,1961-05-15,Палеонтолог,село Міусинськ,"набережна Аеропортівська, буд. 71 кв. 912, Зеленодольськ, 06750",095 850-25-25,wokhrimenko@example.org
